NEW AMPLICON BELOW HERE
iteration	solution sizes per iteration	best solution size	whether feasible solution was found per iteration
1			False
			False
			False
			False
5			False
			False
			False
			False
			False
10			False
			False
			False
			False
			False
15			False
			False
	3	3	True
	3	3	True
	3	3	True
20	3	3	True
		3	False
		3	False
		3	False
		3	False
25		3	False
		3	False
		3	False
		3	False
		3	False
30		3	False
		3	False
		3	False
		3	False
		3	False
35		3	False
		3	False
		3	False
		3	False
		3	False
40		3	False
		3	False
		3	False
		3	False
		3	False
45		3	False
		3	False
		3	False
		3	False
		3	False
50		3	False
		3	False
		3	False
		3	False
		3	False
55		3	False
		3	False
		3	False
		3	False
		3	False
60		3	False
	3	3	True
		3	False
	3	3	True
		3	False
65	3	3	True
	3	3	True
	3	3	True
		3	False
	3	3	True
70	3	3	True
		3	False
		3	False
	3	3	True
	3	3	True
75	3	3	True
		3	False
		3	False
		3	False
	3	3	True
80	3	3	True
		3	False
		3	False
		3	False
		3	False
85		3	False
		3	False
		3	False
		3	False
		3	False
90		3	False
		3	False
		3	False
		3	False
		3	False
95		3	False
		3	False
		3	False
		3	False
		3	False
100		3	False
	3	3	True
	3	3	True
	3	3	True
		3	False
105	3	3	True
		3	False
	3	3	True
	3	3	True
	3	3	True
110		3	False
	3	3	True
	3	3	True
	3	3	True
		3	False
115	3	3	True
		3	False
	3	3	True
	3	3	True
	3	3	True
120	3	3	True
NEW AMPLICON BELOW HERE
iteration	solution sizes per iteration	best solution size	whether feasible solution was found per iteration
1	5	5	True
	5	5	True
	5	5	True
	5	5	True
5	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
10	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
15	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
20	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
25	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
30	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
35	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
40	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
45	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
50	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
55	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
60	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
65	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
70	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
75	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
80	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
85	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
90	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
95	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
100	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
105	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
110	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
115	5	5	True
	5	5	True
	5	5	True
	5	5	True
	5	5	True
120	5	5	True
NEW AMPLICON BELOW HERE
iteration	solution sizes per iteration	best solution size	whether feasible solution was found per iteration
1	2	2	True
	2	2	True
	2	2	True
	2	2	True
5	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
10	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
15	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
20	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
25	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
30	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
35	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
40	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
45	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
50	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
55	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
60	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
65	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
70	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
75	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
80	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
85	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
90	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
95	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
100	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
105	2	2	True
	2	2	True
	2	2	True
	2	2	True
	2	2	True
110	2	2	True
	2	2	True
	2	2	True
	2	2	True
