NEW AMPLICON BELOW HERE
best solution sizes	solution sizes per iteration	whether feasible solution was found per iteration
		False
		False
		False
		False
		False
		False
		False
		False
		False
		False
		False
		False
		False
		False
		False
		False
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3		False
3		False
3	3	True
3		False
3	3	True
3	3	True
3		False
3	3	True
3	3	True
3	3	True
3		False
3	3	True
3	3	True
3	3	True
3		False
3	3	True
3		False
3	3	True
3	3	True
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3	3	True
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3		False
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3		False
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
NEW AMPLICON BELOW HERE
best solution sizes	solution sizes per iteration	whether feasible solution was found per iteration
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
5	5	True
NEW AMPLICON BELOW HERE
best solution sizes	solution sizes per iteration	whether feasible solution was found per iteration
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
2	2	True
NEW AMPLICON BELOW HERE
best solution sizes	solution sizes per iteration	whether feasible solution was found per iteration
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3	3	True
3		False
3	3	True
3	3	True
3	3	True
3		False
3	3	True
3	3	True
3	3	True
3		False
3	3	True
3		False
3		False
3	3	True
3		False
3		False
3	3	True
3		False
3		False
3		False
3		False
3		False
3		False
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3		False
3	3	True
3	3	True
3	3	True
3		False
3		False
3		False
3	3	True
3	3	True
3	3	True
3		False
3		False
3		False
3		False
3		False
3	3	True
3		False
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3		False
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3		False
3	3	True
3		False
3		False
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3	3	True
3		False
3	3	True
3	3	True
3	3	True
3	3	True
